contaminated_client_indices:[11, 1, 42, 12, 36, 2, 30, 23, 46, 49, 45, 40, 27, 3, 39]
weights list(greater): [9, 31, 41, 29, 2, 37, 16, 4, 6, 49, 33, 18, 12, 30, 25, 0, 39, 7, 3, 22, 27, 46, 34, 5, 24, 35, 45, 15, 11, 1, 10, 36, 26, 42, 17, 19, 20, 23, 38, 21, 8, 32, 14, 44, 28, 43, 47, 48, 13, 40]
weights list(greater): [2, 41, 35, 46, 5, 22, 3, 18, 0, 37, 24, 49, 33, 47, 10, 31, 36, 9, 26, 8, 15, 28, 6, 11, 21, 48, 4, 27, 19, 25, 34, 20, 1, 42, 38, 17, 7, 43, 30, 16, 39, 13, 32, 29, 44, 45, 12, 14, 23, 40]
weights list(greater): [46, 0, 22, 3, 10, 24, 28, 37, 36, 8, 47, 25, 5, 33, 27, 9, 49, 1, 35, 18, 34, 41, 11, 2, 38, 39, 19, 26, 17, 31, 15, 43, 20, 42, 21, 7, 6, 32, 30, 16, 4, 48, 13, 14, 12, 44, 29, 45, 23, 40]
weights list(greater): [46, 5, 0, 28, 22, 9, 41, 37, 35, 10, 25, 17, 15, 19, 3, 34, 2, 33, 39, 49, 36, 21, 1, 47, 26, 31, 27, 24, 8, 11, 42, 18, 43, 4, 32, 7, 16, 6, 38, 20, 12, 30, 48, 14, 44, 13, 29, 45, 23, 40]
weights list(greater): [46, 35, 15, 0, 49, 3, 28, 10, 17, 25, 5, 19, 9, 24, 2, 33, 41, 34, 42, 22, 36, 26, 8, 39, 18, 11, 31, 43, 38, 37, 27, 1, 47, 20, 30, 32, 21, 12, 4, 7, 16, 48, 44, 6, 45, 13, 14, 29, 23, 40]
weights list(greater): [0, 28, 9, 41, 35, 15, 17, 3, 10, 37, 22, 5, 34, 33, 26, 2, 19, 39, 49, 25, 31, 46, 47, 20, 11, 36, 24, 8, 27, 18, 1, 42, 32, 21, 4, 6, 7, 16, 43, 38, 30, 14, 12, 48, 44, 13, 29, 45, 23, 40]
weights list(greater): [46, 10, 0, 15, 35, 3, 49, 25, 28, 26, 19, 41, 39, 5, 31, 36, 34, 17, 22, 9, 33, 8, 37, 18, 42, 24, 27, 11, 4, 43, 20, 21, 32, 1, 38, 2, 47, 30, 7, 6, 12, 14, 48, 16, 44, 29, 13, 23, 45, 40]
weights list(greater): [19, 35, 49, 5, 0, 28, 10, 41, 37, 9, 17, 32, 15, 3, 36, 46, 26, 22, 42, 34, 25, 33, 8, 11, 21, 31, 18, 4, 24, 27, 39, 43, 1, 16, 20, 7, 47, 12, 30, 2, 6, 38, 44, 14, 45, 48, 23, 29, 13, 40]
weights list(greater): [19, 0, 35, 5, 41, 42, 37, 49, 10, 15, 22, 4, 26, 9, 28, 46, 39, 21, 17, 32, 20, 3, 27, 31, 36, 25, 8, 24, 34, 1, 18, 11, 33, 16, 43, 12, 6, 44, 30, 7, 2, 47, 23, 38, 14, 13, 48, 45, 29, 40]
weights list(greater): [42, 19, 41, 49, 35, 10, 5, 2, 4, 0, 37, 15, 26, 32, 21, 9, 22, 3, 39, 34, 1, 28, 31, 43, 27, 33, 16, 17, 7, 24, 46, 25, 20, 8, 36, 30, 11, 6, 14, 18, 45, 12, 47, 23, 44, 48, 13, 38, 29, 40]
weights list(greater): [19, 42, 35, 10, 0, 9, 37, 5, 21, 26, 49, 41, 32, 28, 22, 17, 39, 4, 31, 3, 33, 15, 7, 43, 12, 1, 23, 27, 34, 20, 46, 24, 18, 16, 30, 36, 8, 25, 14, 47, 11, 44, 45, 2, 6, 13, 48, 38, 29, 40]
weights list(greater): [19, 0, 35, 21, 42, 4, 10, 41, 9, 32, 37, 39, 28, 5, 26, 46, 15, 24, 1, 16, 43, 22, 3, 7, 25, 20, 14, 23, 27, 31, 33, 8, 49, 18, 17, 30, 34, 2, 11, 12, 47, 6, 36, 44, 45, 13, 38, 48, 29, 40]
weights list(greater): [19, 42, 35, 4, 32, 37, 10, 21, 46, 26, 41, 0, 24, 9, 3, 2, 31, 28, 5, 39, 22, 45, 34, 20, 17, 30, 49, 43, 15, 8, 1, 7, 25, 11, 16, 14, 18, 27, 12, 33, 38, 47, 23, 13, 36, 44, 6, 48, 29, 40]
weights list(greater): [19, 10, 35, 9, 32, 21, 42, 0, 41, 26, 4, 23, 39, 24, 5, 2, 46, 31, 28, 30, 49, 20, 16, 37, 7, 45, 8, 15, 43, 1, 33, 34, 25, 3, 18, 11, 14, 12, 17, 22, 27, 44, 6, 38, 47, 13, 48, 29, 36, 40]
weights list(greater): [42, 9, 19, 4, 32, 35, 37, 39, 0, 26, 24, 10, 41, 21, 16, 28, 3, 46, 2, 31, 34, 7, 45, 43, 30, 49, 5, 33, 20, 18, 8, 12, 44, 17, 1, 23, 15, 47, 11, 25, 14, 22, 13, 27, 6, 48, 38, 36, 29, 40]
weights list(greater): [19, 42, 9, 0, 32, 35, 4, 26, 46, 37, 41, 24, 21, 45, 10, 20, 3, 2, 28, 5, 31, 43, 39, 30, 25, 8, 16, 1, 17, 7, 15, 34, 12, 18, 23, 44, 14, 22, 11, 49, 13, 33, 27, 47, 38, 6, 48, 29, 36, 40]
weights list(greater): [19, 42, 4, 9, 32, 10, 0, 21, 45, 16, 39, 35, 41, 24, 5, 28, 26, 20, 37, 43, 2, 7, 46, 8, 44, 31, 30, 25, 3, 14, 33, 15, 18, 17, 34, 23, 47, 1, 12, 22, 13, 11, 49, 27, 6, 38, 48, 29, 36, 40]
weights list(greater): [19, 9, 42, 0, 10, 37, 24, 32, 45, 41, 21, 4, 26, 35, 5, 16, 39, 23, 20, 46, 30, 7, 3, 31, 8, 44, 28, 2, 33, 18, 22, 43, 11, 34, 47, 15, 14, 25, 49, 13, 12, 17, 1, 36, 6, 27, 48, 29, 38, 40]
weights list(greater): [19, 45, 9, 42, 0, 4, 24, 41, 46, 37, 21, 32, 26, 10, 35, 16, 7, 5, 39, 8, 23, 20, 3, 30, 31, 25, 28, 2, 18, 43, 11, 44, 34, 17, 15, 22, 14, 33, 13, 47, 49, 38, 27, 1, 6, 12, 36, 48, 29, 40]
weights list(greater): [19, 9, 42, 0, 4, 35, 21, 10, 16, 32, 41, 39, 46, 24, 7, 20, 31, 26, 37, 45, 28, 5, 43, 8, 30, 2, 34, 44, 14, 23, 15, 18, 27, 3, 17, 47, 25, 33, 22, 1, 11, 49, 6, 13, 48, 12, 38, 36, 29, 40]
weights list(greater): [19, 9, 0, 24, 41, 10, 42, 32, 4, 21, 16, 26, 20, 37, 39, 45, 7, 30, 35, 5, 44, 46, 8, 43, 28, 31, 1, 18, 22, 25, 14, 15, 3, 23, 33, 13, 2, 11, 47, 17, 34, 12, 6, 49, 36, 38, 27, 48, 29, 40]
weights list(greater): [19, 0, 9, 42, 10, 26, 24, 32, 4, 41, 7, 16, 46, 37, 39, 45, 21, 20, 35, 3, 23, 25, 31, 43, 22, 30, 14, 8, 34, 5, 28, 18, 1, 33, 15, 44, 2, 47, 11, 27, 13, 36, 12, 17, 6, 38, 48, 49, 29, 40]
weights list(greater): [19, 0, 9, 42, 24, 41, 10, 4, 32, 39, 16, 26, 7, 21, 45, 37, 46, 35, 23, 5, 8, 20, 44, 28, 43, 30, 33, 34, 3, 11, 47, 18, 25, 15, 14, 17, 2, 13, 6, 31, 36, 12, 49, 22, 38, 27, 1, 48, 29, 40]
weights list(greater): [19, 0, 4, 10, 9, 32, 24, 42, 45, 21, 16, 26, 30, 41, 7, 46, 20, 35, 37, 39, 44, 14, 3, 34, 5, 8, 18, 43, 31, 22, 28, 23, 2, 47, 11, 25, 33, 27, 1, 15, 12, 13, 17, 36, 6, 38, 49, 48, 29, 40]
weights list(greater): [19, 9, 0, 41, 24, 10, 4, 45, 42, 32, 16, 21, 7, 26, 35, 20, 39, 5, 3, 8, 46, 30, 37, 23, 44, 2, 28, 34, 25, 43, 31, 18, 11, 14, 33, 15, 49, 27, 47, 17, 12, 13, 22, 1, 6, 38, 36, 48, 29, 40]
weights list(greater): [19, 42, 0, 9, 10, 41, 16, 24, 4, 7, 26, 32, 45, 20, 21, 39, 35, 44, 23, 34, 8, 30, 5, 43, 2, 31, 46, 14, 3, 37, 28, 47, 33, 15, 27, 18, 49, 6, 11, 22, 1, 12, 13, 25, 17, 38, 48, 36, 29, 40]
weights list(greater): [19, 9, 24, 0, 10, 42, 4, 32, 45, 20, 26, 41, 21, 37, 39, 46, 7, 35, 16, 30, 8, 44, 18, 5, 31, 11, 23, 34, 2, 28, 3, 25, 22, 33, 27, 47, 43, 14, 13, 12, 15, 17, 38, 1, 36, 6, 49, 48, 29, 40]
