v1 r
contaminated_client_indices:[10, 0, 12, 11, 33, 47, 15, 2, 29, 16, 23, 9, 1, 18, 13]
weights list(greater): [47, 1, 39, 0, 28, 16, 18, 6, 12, 32, 15, 29, 41, 23, 40, 35, 44, 7, 10, 3, 24, 33, 11, 21, 38, 34, 30, 45, 5, 48, 4, 22, 37, 49, 27, 19, 36, 8, 14, 17, 25, 26, 42, 20, 9, 2, 31, 46, 43, 13]
weights list(greater): [1, 47, 7, 16, 3, 10, 28, 21, 17, 29, 15, 23, 45, 31, 22, 12, 9, 46, 40, 38, 25, 8, 24, 27, 26, 6, 39, 33, 2, 48, 5, 42, 18, 49, 37, 35, 0, 36, 34, 14, 41, 19, 32, 4, 30, 20, 44, 13, 43, 11]
weights list(greater): [1, 7, 9, 31, 10, 29, 24, 3, 28, 4, 15, 46, 48, 26, 16, 12, 8, 47, 38, 49, 23, 42, 25, 2, 6, 32, 35, 20, 27, 33, 14, 21, 5, 41, 30, 19, 34, 40, 22, 45, 17, 36, 18, 0, 44, 13, 37, 43, 39, 11]
weights list(greater): [3, 1, 41, 15, 18, 32, 7, 49, 4, 35, 24, 12, 26, 10, 22, 2, 34, 20, 8, 5, 47, 31, 48, 6, 19, 23, 9, 25, 33, 40, 28, 17, 46, 14, 45, 42, 44, 16, 0, 38, 30, 36, 29, 21, 13, 27, 37, 43, 39, 11]
weights list(greater): [41, 0, 1, 2, 5, 32, 23, 44, 7, 3, 49, 33, 24, 22, 34, 18, 45, 48, 12, 16, 35, 40, 36, 21, 26, 38, 25, 8, 42, 31, 19, 10, 6, 47, 20, 15, 9, 17, 28, 4, 27, 46, 14, 30, 37, 13, 11, 43, 29, 39]
weights list(greater): [47, 23, 6, 2, 28, 17, 0, 33, 48, 31, 44, 35, 7, 45, 34, 18, 32, 40, 3, 22, 20, 1, 16, 49, 5, 41, 15, 25, 26, 29, 19, 38, 8, 27, 39, 36, 14, 10, 46, 30, 21, 9, 42, 24, 12, 13, 4, 37, 43, 11]
weights list(greater): [47, 1, 4, 48, 41, 29, 33, 17, 0, 32, 34, 31, 3, 42, 22, 28, 45, 7, 36, 5, 16, 21, 15, 26, 18, 2, 9, 35, 25, 10, 27, 20, 19, 23, 38, 24, 44, 12, 14, 43, 46, 40, 11, 6, 49, 37, 8, 30, 39, 13]
weights list(greater): [1, 47, 41, 7, 15, 18, 32, 3, 38, 28, 19, 29, 31, 26, 16, 27, 42, 22, 4, 23, 30, 34, 48, 20, 9, 36, 39, 5, 25, 10, 0, 49, 45, 13, 14, 8, 24, 43, 44, 17, 40, 46, 35, 12, 2, 21, 37, 33, 6, 11]
weights list(greater): [28, 39, 26, 1, 7, 15, 47, 3, 22, 31, 40, 18, 32, 21, 36, 42, 5, 27, 10, 41, 29, 24, 49, 0, 30, 38, 20, 46, 13, 34, 23, 43, 44, 9, 8, 35, 48, 16, 14, 37, 45, 19, 17, 6, 25, 12, 11, 4, 2, 33]
weights list(greater): [41, 28, 3, 1, 10, 7, 29, 44, 24, 31, 47, 49, 32, 13, 25, 39, 15, 23, 5, 17, 34, 22, 20, 18, 26, 27, 36, 38, 42, 0, 30, 45, 48, 43, 40, 14, 9, 46, 8, 6, 12, 35, 33, 37, 21, 16, 11, 2, 4, 19]
